TF	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
PKM	0.0	0.0	0.99	0.56
POLE4	1.99	0.0	0.0	0.0
PPARG	0.99	0.0	0.0	0.0
PPARGC1A	1.83	0.0	0.0	0.0
PPP1R10	1.82	0.0	0.0	0.0
PRNP	2.31	0.0	0.64	0.0
PSMA6	2.21	0.36	0.0	0.0
PSMC2	0.0	0.0	1.26	0.7
PTPMT1	1.77	0.0	0.0	0.0
RAN	1.56	0.06	0.0	0.0
RBPJ	2.18	0.0	0.0	0.0
RELA	1.33	0.0	0.0	0.0
RNF114	1.03	0.0	0.0	0.0
RPS10	16.24	0.06	0.12	0.07
RPS4X	8.07	0.1	0.0	0.11
RUVBL1	2.48	0.0	0.0	0.0
RXRB	3.14	0.0	0.0	0.0
SCMH1	3.12	0.0	0.0	0.0
SETDB1	0.0	1.15	0.0	0.0
SF1	1.69	0.0	0.0	0.0
SF3B1	3.13	0.0	0.0	0.0
SFPQ	1.05	0.0	0.0	0.0
SMARCA4	0.99	0.0	0.0	0.0
SMARCC2	1.25	0.0	0.0	0.0
SMUG1	1.28	0.0	0.0	0.0
SNAPC4	1.85	0.83	0.0	0.0
SND1	0.925	0.075	0.0	0.0
SOD1	2.14	0.0	0.0	0.0
SOX9	0.84	0.0	0.0	0.0
SP2	10.9	13.5	3.05	5.94
SPAG7	1.06	0.0	0.0	0.0
SPDEF	1.56	0.0	0.0	0.0
SREBF1	1.795	0.0	0.0	0.0
SRF	4.62	0.0	0.0	0.0
SRP9	1.5	0.0	0.0	0.0
SSRP1	1.24	0.0	0.0	0.0
STAT3	3.6750000000000003	0.0	0.0	0.0
STAT6	1.97	0.0	0.0	0.07
STUB1	1.57	0.0	0.0	0.0
T	0.0	0.0	0.61	0.0
TEAD3	1.96	0.0	0.0	0.0
TEF	105.74	117.32	59.35	92.28
TFCP2L1	1.97	0.0	0.0	0.0
TFE3	0.91	0.0	0.0	0.0
TFF3	22.38	0.0	0.14	0.0
THAP11	3.64	0.0	0.0	0.0
THAP12	5.0	0.0	0.0	0.0
TOB2	1.56	0.0	0.0	0.0
TPI1	2.64	0.0	0.0	0.0
TRAF4	0.26	0.0	0.0	0.0
TRIM28	1.21	0.0	0.0	0.0
TRIP10	1.09	0.0	0.0	0.0
TRMT1	0.0	0.0	0.0	0.0
UBE2V1	1.9400000000000002	0.0	0.0	0.0
UBTF	3.27	0.0	0.0	0.0
UBXN1	0.78	0.0	0.0	0.0
UGP2	0.57	0.0	0.0	0.0
UQCRB	8.37	0.0	0.0	0.0
USF1	2.68	0.0	0.0	0.0
USF2	0.94	0.0	0.0	0.0
VDR	0.87	0.0	0.0	0.0
VPS72	2.21	0.0	0.0	0.0
XBP1	1.135	0.0	0.0	0.0
YBX1	1.55	0.0	0.0	0.0
YWHAE	2.78	0.16	0.0	0.0
YWHAZ	1.705	0.025	0.0	0.0
ZBTB4	1.67	0.0	0.0	0.0
ZBTB42	2.48	0.0	0.0	0.0
ZBTB7A	1.35	0.0	0.0	0.0
ZBTB7B	1.61	0.0	0.0	0.0
ZBTB7C	0.9	0.0	0.0	0.0
ZHX3	0.92	0.41	0.0	0.0
ZMAT2	2.72	0.0	0.0	0.0
ZNF146	1.38	0.0	0.0	0.0
ZNF207	1.35	0.0	0.0	0.0
ZNF219	1.57	0.0	0.0	0.0
ZNF317	0.45	0.0	0.0	0.0
ZNF354A	1.8	0.0	0.0	0.0
ZNF513	0.85	0.0	0.0	0.0
ZNF581	1.58	0.0	0.0	0.0
ZNF592	1.6	0.0	0.0	0.0
ZNF598	4.575	0.0	0.0	0.0
