Gene	WT-1_Read_Count	WT-2_Read_Count	Toluene-1_Read_Count	Toluene-2_Read_Count
ARL14	1	0	0	2
ARL16	2	0	0	0
ARL6IP1	2	3	0	0
ARL6IP4	25	0	0	0
ARL6IP5	12	0	0	0
ARMC5	4	0	0	0
ARMC8	2	0	0	0
ARPC1B	12	0	0	0
ARPC2	20	1	3	1
ARPC3	44	0	0	4
ARPC4	63	1	0	0
ARPC5	16	0	0	0
ARPC5L	4	0	0	0
ARRB1	1	0	0	0
ARRDC1	1	0	0	0
ARSA	19	0	0	0
ASAH	5	0	0	0
ASH2L	3	0	0	0
ASMTL	0	0	2	1
ASMTL-AS1	12	0	0	0
ASS1	26	0	0	0
ATAD1	4	0	0	0
ATAD3B	12	0	0	0
ATF4	26	0	5	0
ATG101	8	0	0	0
ATG13	9	0	0	0
ATG16L2	3	0	0	0
ATG4D	3	0	0	0
ATG7	10	0	0	0
ATG9A	2	0	0	0
ATOX1	13	0	0	0
ATP	14053	16440	9904	15405
ATP-hydrolysing	16	1	0	0
ATP13A1	13	0	0	0
ATP13A3	2	2	0	0
ATP13A4	2	0	0	0
ATP1A1	80	3	3	0
ATP1B1	2	0	0	0
ATP1B3	26	0	0	0
ATP2A1	5	4	0	0
ATP2A2	2	0	2	0
ATP2A3	8	0	0	0
ATP2C2	4	0	0	0
ATP5A1	0	0	0	16
ATP5B	28	2	4	1
ATP5C1	34	0	0	0
ATP5E	128	3	5	2
ATP5F1A	84	2	0	2
ATP5G3	46	2	0	3
ATP5H	57	1	0	0
ATP5IF1	35	0	0	0
ATP5MC2	37	2	1	0
ATP5MD	34	0	0	0
ATP5ME	64	3	1	0
ATP5MF	33	2	0	3
ATP5MPL	36	0	0	4
ATP5PO	61	0	0	0
ATP6AP1	11	0	0	0
ATP6V0A1	20	0	0	0
ATP6V0B	3	0	0	0
ATP6V0C	12	0	0	0
ATP6V0D1	15	1	0	0
ATP6V0E1	37	0	4	0
ATP6V1B2	9	0	0	0
ATP6V1C2	7	0	0	0
ATP6V1D	4	0	0	0
ATP6V1E1	8	0	0	0
ATP6V1F	6	4	2	0
ATP6V1G2-DDX39B	37	1	0	0
ATRAID	22	0	0	0
ATXN2L	6	0	0	0
AUP1	26	0	0	0
AURKAIP1	35	1	0	0
AUTS2	3	0	0	0
AUX1	2092	2451	1333	2426
AVPI1	6	1	0	0
AXIN	5	0	0	0
Aass	3	0	0	0
Abcb11	0	1	2	0
Abcc2	6	6	0	2
Abhd14b	5	1	3	0
