Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
LOC104592261	0.05	0.23	0.08	0.36
LOC104592297	13.81	13.76	8.09	13.37
LOC104592314	90.89	91.18	42.74	69.63
LOC104592321	0.47	0.24	0.47	0.71
LOC104592350	0.22	0.08	1.7	1.88
LOC104592406	34.22	36.55	31.88	48.51
LOC104592764	22.37	22.31	10.12	21.46
LOC104592796	45.22	46.04	26.14	36.31
LOC104592878	18.4	25.33	31.25	29.44
LOC104592908	6.38	6.09	3.28	6.68
LOC104592917	6.78	7.9	6.65	8.65
LOC104592935	2.2	2.26	1.56	2.5
LOC104593158	0.35	0.32	0.2	0.28
LOC104593339	0.84	2.25	0.0	0.26
LOC104593428	40.56	39.49	21.45	35.29
LOC104593454	28.64	28.89	16.74	30.42
LOC104593539	82.39	94.17	88.17	111.57
LOC104593573	32.59	35.24	30.69	46.38
LOC104593610	11.65	12.97	8.58	17.27
LOC104593611	4.12	4.21	3.87	5.36
LOC104593624	205.54	212.34	84.47	145.82
LOC104593641	0.42	0.48	0.49	0.44
LOC104593796	4.88	4.32	2.38	4.37
LOC104593890	1.67	1.81	0.7	1.42
LOC104593934	0.18	0.23	0.0	0.25
LOC104594040	10.58	11.87	7.41	12.49
LOC104594115	14.34	15.72	7.65	15.04
LOC104594165	8.11	8.68	5.67	8.9
LOC104594244	11.9	12.53	9.15	11.82
LOC104594249	16.4	15.98	17.42	28.01
LOC104594251	1.06	1.06	0.62	1.02
LOC104594265	26.66	25.94	24.28	36.48
LOC104594276	2.31	1.89	1.73	2.16
LOC104594495	0.14	0.0	0.08	0.23
LOC104594499	4.36	4.83	2.81	4.73
LOC104594533	0.48	0.68	0.92	1.35
LOC104594709	5.61	5.69	4.02	6.5
LOC104594717	2.21	1.52	0.81	1.56
LOC104594720	21.24	23.45	19.42	26.03
LOC104594778	0.0	0.0	0.85	0.77
LOC104594881	2.13	2.32	1.72	2.95
LOC104594887	4.52	4.82	2.01	4.75
LOC104594948	0.28	0.08	0.08	0.32
LOC104595176	0.0	0.4	0.13	0.07
LOC104595193	1.03	0.31	0.0	0.32
LOC104595288	6.1	5.52	8.79	9.15
LOC104595618	0.6	0.0	0.0	0.0
LOC104595775	21.88	23.01	12.93	24.03
LOC104595798	5.63	5.45	2.67	4.48
LOC104595916	2.1	2.63	0.74	1.67
LOC104596081	2.79	4.54	1.11	3.45
LOC104596445	1.99	2.39	1.34	3.14
LOC104596487	6.98	5.66	2.32	4.88
LOC104596495	5.89	3.4	4.04	0.98
LOC104596566	0.32	0.97	0.66	0.22
LOC104596772	0.0	0.0	0.28	0.16
LOC104596973	82.32	88.69	81.39	93.91
LOC104597030	7.31	7.7	7.62	12.29
LOC104597084	8.28	8.11	2.3	4.34
LOC104597168	0.94	2.6	0.35	0.32
LOC104597286	16.34	17.47	14.62	20.73
LOC104597423	3.26	3.77	2.28	4.81
LOC104597515	6.06	6.23	8.49	10.72
LOC104597730	4.81	4.96	3.17	5.95
LOC104597812	4.98	5.24	2.17	4.61
LOC104597884	7.58	7.31	4.95	7.43
LOC104597910	12.46	13.19	5.64	11.08
LOC104597937	26.05	30.45	6.26	15.82
LOC104597997	5.1	6.58	5.25	8.99
LOC104598036	2.32	2.56	1.5	1.9
LOC104598168	32.22	31.27	29.72	41.81
LOC104598216	101.49	103.04	66.47	92.24
LOC104598222	61.95	62.56	26.34	46.62
LOC104598238	17.32	18.26	12.65	19.84
LOC104598274	0.12	0.2	0.44	0.17
LOC104598282	64.54	73.77	41.49	62.66
LOC104598429	10.42	11.53	8.79	13.83
LOC104598431	0.0	0.0	0.26	0.15
LOC104598459	0.58	0.41	0.8	0.96
LOC104598462	14.62	14.76	19.44	27.9
LOC104598633	1.03	0.45	1.46	1.37
LOC104598745	1.22	2.7	1.38	1.98
LOC104598793	2.0	2.39	1.43	2.47
LOC104598892	0.0	0.65	0.0	0.34
LOC104598903	174.56	188.73	156.89	198.17
LOC104598919	7.24	8.39	7.42	9.85
LOC104598966	2.9	2.73	4.26	8.14
LOC104599020	17.19	19.05	19.26	30.43
LOC104599079	15.09	15.71	15.55	18.16
LOC104599243	2.64	2.79	1.4	2.76
LOC104599664	46.95	49.01	26.3	37.57
LOC104599719	40.03	38.59	25.73	36.44
LOC104599721	0.31	0.24	0.66	0.84
LOC104599730	5.76	5.51	5.17	7.49
LOC104599734	9.95	11.22	9.79	12.57
LOC104599751	0.85	1.63	0.64	0.92
LOC104599789	8.22	6.59	6.25	11.98
LOC104599793	0.87	0.66	0.79	0.77
LOC104599899	0.36	0.36	0.85	0.51
LOC104599935	1.89	0.0	0.79	0.0
LOC104600018	16.62	17.44	7.84	12.63
LOC104600090	7.8	8.32	3.84	6.28
LOC104600226	0.33	0.38	0.13	0.25
LOC104600326	19.13	19.05	13.78	18.56
LOC104600538	3.14	3.47	1.47	3.22
LOC104600545	0.28	0.0	0.23	1.06
LOC104600547	0.8	1.06	0.19	0.87
LOC104600566	38.36	40.42	21.12	33.35
LOC104600613	0.57	0.53	0.15	0.25
LOC104600620	6.51	4.64	3.04	3.92
LOC104600626	0.0	0.0	0.0	0.4
LOC104600718	0.0	0.57	0.0	0.6
LOC104600770	10.8	12.33	7.76	12.6
LOC104600779	0.82	0.0	0.0	0.76
LOC104600873	1.65	1.74	1.22	2.21
LOC104600897	2.99	2.62	1.43	2.92
LOC104600903	69.42	94.24	71.49	64.78
LOC104601096	3416.38	3192.7	1531.57	2237.76
LOC104601122	15.6	16.67	10.84	15.53
LOC104601183	1.95	2.19	3.13	3.91
LOC104601234	0.07	0.17	0.44	0.5
LOC104601349	5.09	5.57	4.57	6.5
LOC104601566	1.79	1.22	1.49	1.09
LOC104601748	0.2	0.26	0.08	0.38
LOC104601767	6.05	6.67	5.58	10.12
LOC104601926	1.02	1.0	0.63	1.79
LOC104601938	0.0	0.5	0.0	0.0
LOC104601998	54.54	66.17	91.0	103.44
LOC104602116	1.94	2.29	1.26	2.42
LOC104602141	50.33	63.84	45.4	63.04
LOC104602357	7.55	7.67	5.06	9.89
LOC104602360	4.54	4.37	4.46	5.83
LOC104602503	0.53	0.81	1.04	1.12
LOC104602611	10.22	11.47	6.49	8.91
LOC104602734	0.81	1.38	0.94	1.8
LOC104602736	1.81	1.08	0.75	0.64
LOC104602744	6.12	7.4	2.04	2.64
LOC104602804	37.65	37.08	18.13	30.8
LOC104602820	0.48	0.47	0.48	0.48
LOC104602977	35.95	36.31	27.79	38.08
LOC104603105	9.8	10.92	4.33	8.09
LOC104603240	14.55	14.35	13.2	19.6
LOC104603526	11.3	10.97	6.24	8.94
LOC104603648	22.01	21.32	13.93	21.01
LOC104603681	5.0	5.92	3.68	6.63
LOC104603706	7.67	8.05	3.88	7.19
LOC104603917	61.05	63.31	27.0	47.32
LOC104604041	6.56	7.63	4.12	8.34
LOC104604061	0.15	0.2	0.0	0.29
LOC104604291	2.73	2.86	1.5	2.76
LOC104604309	0.0	0.0	0.0	0.0
LOC104604415	40.14	55.44	52.34	56.26
LOC104604444	90.4	104.66	78.18	129.18
LOC104604459	4.3	4.72	2.46	4.08
LOC104604468	1.795	1.98	1.115	2.28
LOC104604483	2.54	2.23	2.28	3.3
LOC104604554	12.12	11.56	6.01	11.02
LOC104604565	3.03	4.38	5.0	6.16
LOC104604672	5.67	6.26	4.22	7.23
LOC104604677	1.63	1.59	0.84	1.15
LOC104604712	16.04	16.46	7.29	18.92
LOC104604767	10.15	8.38	3.38	7.18
LOC104604787	11.17	11.62	6.0	11.25
LOC104604800	16.92	15.36	5.6	11.67
LOC104604852	0.0	0.0	0.0	0.9
LOC104604995	5.91	5.17	3.87	5.63
LOC104605017	1.48	1.33	1.86	0.69
LOC104605183	22.16	23.16	14.78	26.67
LOC104605465	2.88	3.76	2.44	3.4
LOC104605584	1.77	2.16	3.74	4.92
LOC104605585	0.25	0.33	1.18	1.42
LOC104605888	23.36	24.55	20.46	30.8
LOC104606042	303.97	290.5	120.43	192.23
LOC104606172	17.97	17.56	10.75	17.9
LOC104606398	35.52	40.75	45.3	58.48
LOC104606421	0.0	0.22	0.31	0.12
LOC104606439	61.89	67.26	76.74	77.59
LOC104606479	369.05	422.63	227.73	398.85
LOC104606522	5.31	5.67	3.8	6.42
LOC104606677	4.04	4.33	3.41	5.71
LOC104606809	1.67	0.0	0.0	0.0
LOC104606820	0.0	0.23	0.0	0.0
LOC104606829	18.31	24.41	18.13	21.1
LOC104606861	8.3	9.64	5.09	7.91
LOC104606869	15.5	14.98	9.49	15.27
LOC104606923	12.21	12.41	9.78	15.63
LOC104606950	0.0	0.0	0.0	0.78
LOC104607012	18.35	17.54	10.36	16.69
LOC104607164	1.01	0.0	0.0	0.0
LOC104607424	7.87	8.84	3.43	7.33
LOC104607470	0.08	0.18	0.02	0.47
LOC104607708	0.4	0.0	0.0	0.38
LOC104607825	4.47	4.61	3.06	5.07
LOC104607891	1.67	1.94	0.77	1.53
LOC104608076	205.45	222.78	279.94	309.7
LOC104608113	0.6	0.72	0.0	0.0
LOC104608184	29.84	32.49	22.18	24.87
LOC104608208	10.05	10.33	7.42	11.78
LOC104608414	21.94	24.44	13.98	20.67
LOC104608524	3.3	4.05	2.35	4.75
LOC104608620	23.38	29.12	23.89	30.18
LOC104608703	16.52	15.78	10.57	20.26
LOC104608886	2.22	1.44	2.92	3.71
LOC104608957	0.0	0.0	0.18	0.41
LOC104608976	0.9	1.21	0.84	1.79
LOC104609055	52.95	59.4	33.99	45.85
LOC104609064	40.29	42.67	26.05	30.38
LOC104609102	12.11	13.81	7.58	10.92
LOC104609172	1.59	1.85	0.83	1.04
LOC104609238	1.89	1.63	1.34	2.44
LOC104609283	5.18	5.75	3.41	5.55
LOC104609420	0.75	0.67	0.84	1.66
LOC104609565	43.89	50.91	34.29	53.66
LOC104609598	40.98	43.44	16.59	28.06
LOC104609646	16.09	17.06	17.29	22.21
LOC104609717	1.74	2.21	1.53	2.49
LOC104609729	0.99	0.68	0.09	0.53
LOC104609754	0.79	1.0	0.15	0.42
LOC104609863	30.93	32.9	26.25	31.58
LOC104609870	1.59	1.24	0.07	0.63
LOC104609887	10.52	9.69	6.41	10.37
LOC104609948	19.62	22.54	19.16	26.74
LOC104610077	0.0	0.86	0.0	1.81
LOC104610179	5.59	5.48	5.31	7.69
LOC104610187	21.86	20.52	18.56	20.33
LOC104610233	10.63	11.79	4.23	8.31
LOC104610278	8.23	9.66	5.44	9.95
LOC104610376	32.91	33.54	30.36	41.99
LOC104610411	0.0	0.72	0.0	0.0
LOC104610484	9.46	10.67	6.83	10.41
LOC104610746	4.0	3.9	2.01	3.87
LOC104610809	19.51	18.67	13.71	20.34
LOC104610850	2.29	2.25	1.44	2.12
LOC104610951	18.46	22.77	17.68	28.69
LOC104611224	27.59	25.67	16.41	28.21
LOC104611347	0.21	0.37	0.14	0.28
LOC104611381	5.07	4.32	2.11	3.83
LOC104611402	0.0	0.0	0.0	0.66
LOC104611563	0.13	0.36	0.17	0.28
LOC104611781	7.17	8.36	4.69	7.34
LOC104611787	5.56	6.09	4.21	6.4
LOC104612139	8.64	7.48	4.8	6.75
LOC104612368	12.0	13.33	3.95	7.03
LOC104612369	5.38	5.21	1.16	4.08
LOC104612428	9.99	10.37	8.42	12.53
LOC104612445	2.07	1.3	1.41	1.65
LOC104612497	2.08	2.77	1.22	2.5
LOC104612517	11.6	13.61	8.17	12.74
LOC104612596	31.91	34.71	23.14	30.93
LOC104612599	15.18	15.75	8.1	14.9
LOC104612709	0.39	0.53	0.26	0.61
LOC104612726	11.7	10.34	6.38	9.7
LOC104612847	8.74	9.57	6.62	10.18
LOC104612849	5.62	5.83	1.04	3.76
LOC104612884	16.32	16.48	11.91	16.72
LOC104613175	4.21	4.65	3.98	6.75
LOC104613335	69.26	80.06	41.99	63.65
LOC104613381	2.38	2.11	1.4	2.27
LOC104613416	4.86	4.78	4.26	6.61
LOC104645763	0.38	0.5	0.64	1.54
LOC104647958	0.21	0.09	0.3	0.15
LOC104701171	0.0	0.67	0.0	0.35
LOC104701450	0.0	0.0	1.71	0.48
LOC104702836	5.03	5.35	4.3	5.875
LOC104706536	0.6	0.3	0.18	0.53
LOC104707200	0.19	0.04	0.8	1.05
LOC104711973	39.91	44.02	32.45	44.18
LOC104712415	0.0	0.63	0.0	0.65
LOC104712974	29.02	33.14	12.81	19.45
LOC104714130	65.49	69.94	40.74	57.11
LOC104716367	70.39	70.09	56.76	70.92
LOC104716729	11.17	6.13	5.25	10.23
LOC104718492	0.0	0.8	0.0	0.0
LOC104721876	46.27	43.86	38.85	48.42
LOC104726845	0.71	0.54	0.19	0.19
LOC104726871	0.0	0.0	0.0	0.0
LOC104727321	0.83	1.37	0.3	0.54
LOC104727396	0.86	1.18	1.55	2.48
LOC104729650	2.77	3.59	2.95	3.99
LOC104730086	3.96	4.77	4.28	8.03
LOC104731703	53.36	55.66	50.63	63.58
LOC104736584	0.1	0.25	0.08	0.09
LOC104737403	0.69	0.69	0.78	0.97
LOC104740402	5.0	4.46	2.46	4.28
LOC104744822	0.2	0.51	0.08	0.28
LOC104746539	26.91	26.7	15.25	21.88
LOC104752076	0.0	0.0	0.21	0.47
LOC104756108	1.69	1.47	0.99	1.09
LOC104756471	1.83	1.37	0.79	1.3
LOC104762003	11.33	12.72	8.67	12.28
LOC104762544	0.84	0.94	0.77	1.45
LOC104766190	0.18	0.16	0.61	0.35
LOC104766244	1.46	1.35	0.52	1.29
LOC104771438	3.05	2.87	2.86	6.3
LOC104773144	148.22	165.14	103.01	169.48
LOC104776373	13.76	14.12	11.98	17.39
LOC104778439	0.2	0.13	0.13	0.47
LOC104780469	1.98	2.01	0.81	1.78
LOC104785768	1.42	1.18	0.19	1.99
LOC104786983	108.2	109.66	45.91	71.54
LOC104788399	0.42	0.77	0.59	0.93
LOC104790966	14.92	15.38	11.84	16.14
LOC104799514	0.0	1.24	0.0	0.33
LOC104799641	83.23	78.74	109.67	148.45
LOC104800040	1.12	0.97	1.17	2.38
LOC104800107	1.05	0.43	1.39	1.29
LOC104800491	123.23	119.25	40.37	73.41
LOC104800609	0.85	1.62	0.9	1.24
LOC104800711	3.22	3.04	3.49	4.97
LOC104800829	9.17	9.15	5.16	7.73
LOC104800850	5.6	5.66	0.59	3.92
LOC104801478	0.29	0.0	0.0	0.0
LOC104801582	0.27	0.21	0.36	0.52
LOC104801777	0.0	0.0	0.0	1.28
LOC104801791	17.29	14.69	7.65	13.09
LOC104802037	16.8	17.93	11.24	14.69
LOC104802161	0.8	0.97	1.84	1.82
LOC104802610	0.33	0.1	0.0	0.21
LOC104804140	6.94	5.99	1.0	3.75
LOC104804305	12.15	11.86	11.16	12.18
LOC104804673	0.0	0.0	0.83	0.0
LOC104804797	0.11	0.34	0.24	0.55
LOC104804798	59.6	57.68	50.5	72.6
LOC104805015	0.0	0.03	0.62	0.64
LOC104805539	0.99	1.56	4.02	2.99
LOC104806169	11.66	14.15	5.44	8.19
LOC104806563	0.0	0.0	0.0	0.0
LOC104806947	0.23	0.74	0.39	0.37
LOC104807306	1.48	1.39	1.25	2.13
LOC104807654	15.64	16.21	12.31	16.71
LOC104808165	0.25	0.07	0.07	0.24
LOC104808539	2.38	1.27	1.53	1.9
LOC104808572	0.1	0.44	0.42	0.29
LOC104808692	10.72	11.05	6.08	11.12
LOC104808816	2764.96	2948.73	1716.79	2132.46
LOC104808875	11.93	11.42	6.76	9.07
LOC104808957	2.54	2.7	1.49	2.61
LOC104809004	0.09	0.31	0.22	0.17
LOC104809929	0.0	0.0	0.0	0.0
LOC104810124	11.34	12.49	2.86	4.94
LOC104810157	0.43	0.38	0.07	0.81
LOC104810359	68.38	69.6	58.72	86.53
LOC104810489	0.0	0.0	0.0	0.42
LOC104810847	3.65	2.75	0.0	1.58
LOC104811031	58.56	61.06	72.88	78.69
LOC104811162	5.85	6.3	3.17	5.29
LOC104811445	274.88	289.08	148.77	214.38
LOC104811568	2.76	5.29	0.99	6.66
LOC104811649	69.57	68.35	35.02	53.27
LOC104811731	141.72	152.15	140.81	157.1
LOC104811855	2.16	2.32	2.25	4.47
LOC104812097	7.73	6.96	5.85	7.21
LOC104812338	0.0	0.0	0.0	0.0
LOC104812381	3.97	3.86	2.25	4.34
LOC104812603	10.14	10.99	4.93	8.72
LOC104813330	13.74	11.89	10.48	17.0
LOC104813483	22.88	25.21	26.54	22.71
LOC104813697	31.21	31.78	24.65	40.91
LOC104813890	3.48	3.56	2.35	3.63
LOC104814204	0.8	0.67	0.25	0.6
LOC104814470	0.84	0.69	0.37	1.18
LOC104814904	14.3	15.65	9.67	14.92
LOC104815184	0.3	0.56	0.37	0.61
LOC104815376	4.73	3.03	3.95	5.67
LOC104815642	0.13	0.0	0.0	0.6
LOC104816393	5.05	4.9	0.69	1.54
LOC104816886	0.14	0.77	0.17	0.64
LOC104818180	3.59	2.39	5.57	5.52
LOC104818201	11.28	9.53	2.77	13.61
LOC104818516	1.25	0.96	0.18	0.28
LOC104818760	0.0	0.0	0.0	0.0
LOC104818878	20.22	27.02	6.17	6.17
LOC104818905	7.38	9.19	4.6	8.16
LOC104819017	50.43	48.24	44.76	42.14
LOC104819057	0.0	0.0	0.0	1.41
LOC104819502	1.12	2.18	1.57	2.7
LOC104819640	13.54	12.37	18.63	23.94
LOC104819832	14.14	15.94	14.38	17.21
LOC104820510	837.87	891.53	248.05	365.12
LOC104820533	0.51	0.74	0.0	0.24
LOC104821409	22.65	26.84	19.7	34.14
LOC104821490	31.4	31.07	10.48	15.18
LOC104822276	0.37	0.0	0.0	0.0
LOC104822893	0.0	0.0	0.59	0.0
LOC104823139	1.62	1.45	0.98	1.78
LOC104823227	0.39	0.56	2.14	1.07
LOC104823296	67.51	76.94	42.42	57.94
LOC104823569	0.0	0.0	0.0	0.0
LOC104824205	3.8	3.37	1.73	3.42
LOC104824251	17.97	18.74	14.14	20.01
LOC104824462	0.78	0.38	0.27	0.89
LOC104824556	0.77	0.0	0.0	0.0
LOC104824842	43.81	52.41	18.2	50.39
LOC104825074	0.06	0.62	0.05	0.06
LOC104825757	46.42	51.895	41.725	60.230000000000004
LOC104826322	7.32	8.27	2.27	3.59
LOC104826584	16.1	18.01	14.4	16.67
LOC104826616	2.9	2.94	1.75	2.95
LOC104826772	3.19	2.955	1.645	2.83
LOC104827115	19.72	21.69	13.1	16.02
LOC104827252	1.53	1.36	0.96	1.36
LOC104827280	0.8	1.05	0.07	0.45
LOC104877917	0.3	0.51	0.58	0.94
LOC104878424	0.77	1.26	0.58	1.1
LOC104878586	1.87	1.76	1.27	2.15
LOC104878754	0.0	0.0	0.0	0.84
LOC104878989	0.94	1.43	0.74	1.23
LOC104879607	1.18	1.01	0.73	1.27
LOC104880034	9.94	8.27	5.73	8.27
LOC104880124	11.06	11.84	8.34	12.31
LOC104880454	2.64	2.75	1.4	2.66
LOC104880478	3.9699999999999998	4.8100000000000005	3.655	5.165
LOC104880667	1.35	1.34	1.04	1.91
LOC104880668	5.33	6.32	3.38	5.17
LOC104880828	1.84	1.92	2.39	3.33
LOC104881127	3.72	3.9	2.48	3.61
LOC104881408	0.81	0.95	0.58	1.09
LOC104881571	2.89	3.06	1.54	3.15
LOC104881668	0.18	0.245	0.185	0.58
LOC104882706	7.38	8.19	7.65	14.74
LOC104883177	0.92	0.87	0.25	0.97
LOC104883319	3.79	3.49	3.64	5.72
LOC104883546	7.81	6.87	4.02	6.86
LOC104885003	289.12	339.09	294.87	362.45
LOC104886550	2.79	2.87	1.85	3.35
LOC104886919	0.1	0.36	0.17	0.19
LOC104887301	0.45	0.59	0.4	0.59
LOC104888209	10.61	13.39	2.82	13.09
LOC104888394	0.17	0.59	0.28	0.0
LOC104888742	0.43	0.17	0.18	0.8
LOC104889300	0.3	0.18	0.05	0.46
LOC104889904	12.5	13.81	10.77	12.49
LOC104889926	2.93	3.39	8.31	16.58
LOC104890016	7.14	8.37	7.58	12.94
LOC104890937	4.7	4.77	2.13	5.05
LOC104890962	14.4	17.45	10.44	12.27
LOC104891003	7.35	8.26	5.09	9.77
LOC104891236	9.96	10.74	6.03	9.15
LOC104891262	9.88	10.56	5.48	8.49
LOC104892013	13.46	14.58	2.81	5.24
LOC104892821	7.75	7.19	6.2	10.24
LOC104893038	1.12	1.32	0.82	1.11
LOC104893048	1.855	1.93	2.065	2.875
LOC104893898	5.12	6.31	2.13	2.94
LOC104894280	59.34	59.57	25.1	42.35
LOC104894297	0.5	1.33	2.07	0.46
LOC104894569	0.0	0.75	0.0	0.79
LOC104894717	11.48	12.5	7.26	13.43
LOC104894820	0.0	0.0	0.0	0.0
LOC104894928	6.12	6.78	3.66	6.44
LOC104895043	0.0	0.0	0.0	1.08
LOC104895143	0.99	0.0	0.0	0.31
LOC104895673	1.97	1.92	1.34	1.93
LOC104895814	4.98	4.47	2.63	3.9
LOC104895829	840.33	967.55	326.71	448.23
LOC104895902	0.16	0.44	0.55	0.16
LOC104897156	7.73	8.18	4.54	10.35
LOC104897467	1.64	1.53	1.16	1.78
LOC104897979	10.78	12.09	7.21	12.34
LOC104898586	1.42	1.18	0.49	1.2
LOC104899225	0.0	0.22	0.25	0.58
LOC104900173	20.04	15.66	57.13	84.73
LOC104900206	233.1	238.69	77.66	132.28
LOC104900318	15.23	16.73	16.06	19.94
LOC104901573	0.99	0.91	0.51	1.19
LOC104902144	5.14	5.94	4.59	7.13
LOC104902157	15.06	15.99	11.42	15.11
LOC104902706	21.71	24.9	11.99	16.9
LOC104902871	0.13	0.12	0.0	0.0
LOC104903000	0.49	0.4	0.2	0.45
LOC104903177	5.19	5.76	4.67	6.79
LOC104903867	0.0	0.0	0.34	0.58
LOC104903930	2.36	4.96	0.11	1.61
LOC104904150	0.76	0.53	0.19	0.35
LOC104904371	3.89	3.9	2.0	3.13
LOC104904671	0.0	0.0	1.0	0.0
LOC104905253	10.5	11.06	7.57	11.12
LOC104905334	193.17	233.15	317.11	391.84
LOC104905404	0.9	0.9	0.64	0.77
LOC104905406	0.0	0.47	0.0	0.13
LOC104905844	3.33	3.03	3.55	7.38
LOC104906145	4.79	3.76	2.99	4.42
LOC104906317	16.75	16.44	10.25	16.34
LOC104907046	1.67	0.0	0.0	4.65
LOC104908394	0.18	0.05	0.54	0.41
LOC104930195	0.04	0.3	0.39	0.15
LOC105032024	19.4	19.06	12.7	17.08
LOC105032202	13.5	14.07	10.75	16.27
LOC105032738	1.01	1.64	0.61	1.5
LOC105033751	73.17	76.42	48.36	72.97
LOC105034309	4.27	3.91	2.59	5.23
LOC105034650	4.48	2.93	1.07	3.14
LOC105035427	29.85	32.44	40.02	38.92
LOC105035438	11.37	12.18	7.74	10.82
LOC105035553	20.64	20.48	29.84	37.61
LOC105035690	10.54	8.79	8.0	11.52
LOC105036154	33.9	33.0	16.9	19.08
LOC105036363	3.91	3.71	2.98	5.09
LOC105037993	7.92	7.99	2.1	3.93
LOC105038271	19.19	20.22	16.66	19.29
LOC105038633	5.23	5.4	1.18	3.2
LOC105038903	9.47	10.93	7.17	9.41
LOC105039252	0.62	1.67	0.0	0.58
LOC105039392	0.0	0.0	0.54	0.3
LOC105039711	1.45	0.0	0.0	0.0
LOC105039722	1.07	0.72	0.2	0.74
LOC105040968	2.19	1.48	1.03	1.78
LOC105041082	5.75	3.73	4.18	6.16
LOC105042129	0.79	0.45	0.47	0.89
LOC105042291	0.86	0.98	0.67	1.51
LOC105042760	106.3	114.57	108.87	129.61
LOC105043265	15.17	19.66	13.68	21.37
LOC105043506	0.2	0.87	0.0	1.3
LOC105043663	0.16	0.57	0.81	1.22
LOC105043668	0.0	0.0	0.0	1.35
LOC105043847	3.01	3.18	0.99	1.86
LOC105043995	24.48	27.53	25.76	33.56
LOC105044710	4.07	4.59	4.73	5.57
LOC105045490	44.34	51.94	42.19	53.52
LOC105045521	5.84	5.0	6.7	8.14
LOC105045710	12.51	13.27	8.22	13.41
LOC105045753	0.12	0.28	0.18	0.54
LOC105046010	3.33	2.91	1.85	3.99
LOC105046281	0.51	0.0	0.85	0.48
LOC105046734	2.13	2.44	1.27	2.49
LOC105047020	35.58	35.33	39.46	50.45
LOC105047607	0.11	0.26	0.46	0.6
LOC105047712	10.09	11.57	10.11	10.85
LOC105048575	7.35	7.38	4.38	7.82
LOC105048670	26.78	28.75	22.55	38.52
LOC105048807	24.16	28.73	22.27	28.82
LOC105049131	4.35	11.02	3.32	7.82
LOC105049454	0.3	0.16	0.16	0.41
LOC105049547	41.86	48.82	42.3	54.99
LOC105049723	87.72	99.04	86.8	113.71
LOC105049978	0.63	0.19	0.0	1.19
LOC105050506	78.8	88.41	72.64	77.74
LOC105050824	0.08	0.13	0.63	0.36
LOC105051322	9.33	9.22	6.05	8.0
LOC105051978	3.33	4.16	5.26	7.52
LOC105052012	6.57	5.42	5.08	5.3
LOC105052232	0.0	1.59	0.0	7.42
LOC105052646	0.2	0.17	0.0	0.14
LOC105053365	0.4	0.29	0.3	0.59
LOC105053403	7.66	6.73	1.07	4.09
LOC105054041	29.76	28.49	7.73	14.18
LOC105054224	72.34	76.38	53.55	72.95
LOC105054467	22.84	23.57	9.73	16.29
LOC105054615	0.32	0.0	0.27	0.0
LOC105054700	0.73	1.3	0.3	0.0
LOC105054836	97.79	95.58	99.35	125.31
LOC105055415	9.28	9.03	7.21	10.06
LOC105055638	6.18	7.14	4.59	7.82
LOC105055789	134.4	148.8	108.68	127.89
LOC105055805	6.55	9.87	10.17	10.68
LOC105055986	0.3	0.3	0.16	0.28
LOC105056075	6.47	2.07	2.31	4.33
LOC105056246	1.94	1.61	1.26	2.17
LOC105056955	3.8	3.82	2.33	3.66
LOC105057171	349.25	355.21	338.31	426.08
LOC105057426	1.61	1.22	2.45	3.64
LOC105057516	5.28	5.52	2.85	5.41
LOC105057648	17.41	20.09	14.86	21.3
LOC105057854	0.0	0.0	0.0	0.0
LOC105058393	0.0	1.04	0.24	0.27
LOC105058720	60.86	71.43	92.85	113.59
LOC105059113	7.84	8.5	4.95	9.0
LOC105059123	35.28	41.62	38.33	45.49
LOC105059188	0.37	0.41	0.26	0.4
LOC105059281	6.69	6.55	7.3	9.36
LOC105059367	6.75	9.48	9.95	12.51
LOC105059370	4.21	4.87	4.84	6.96
LOC105059447	103.79	106.93	100.9	123.1
LOC105059570	0.0	0.34	0.08	0.0
LOC105059628	8.23	8.42	7.51	10.9
LOC105059785	0.39	0.86	0.94	0.57
LOC105060538	3.67	3.11	0.57	0.51
LOC105060920	16.62	17.02	14.69	16.54
LOC105061343	13.19	15.16	10.43	13.28
LOC105061517	10.45	10.09	7.64	14.31
LOC105107313	13.41	12.83	8.97	15.68
LOC105107499	0.38	0.0	0.79	0.72
LOC105107708	16.46	18.02	9.89	12.8
LOC105107899	97.51	114.19	90.53	127.26
LOC105107960	3.88	4.4	1.88	4.11
LOC105108064	167.25	194.45	112.35	129.92
LOC105108189	60.34	60.22	86.18	138.6
LOC105108720	33.91	37.12	25.0	36.38
LOC105108730	0.0	0.47	0.0	0.17
LOC105108913	58.28	62.79	70.78	141.1
LOC105109154	23.46	27.96	9.68	18.84
LOC105109193	0.0	0.0	0.87	0.96
LOC105109438	5.88	5.44	3.8	4.06
LOC105109504	5.71	6.14	3.22	5.29
LOC105109646	5.01	4.99	3.94	4.59
LOC105109679	11.59	11.81	8.22	16.47
LOC105109810	0.28	0.47	0.04	0.18
LOC105109860	3.03	3.19	0.23	3.63
LOC105109924	215.89	222.39	136.06	174.14
LOC105109979	31.83	28.82	18.47	24.76
LOC105110093	0.71	0.53	0.72	1.32
LOC105110247	12.17	12.11	9.32	13.69
LOC105110287	24.52	23.95	15.36	26.15
LOC105110514	3.92	3.38	2.13	3.32
LOC105110744	264.88	282.63	269.21	339.0
